Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,37.375,37.375,35.625,36.25,28.296314239501953,1334400
2000-01-04,35.9375,35.96875,34.625,34.8125,27.174224853515625,1484800
2000-01-05,34.84375,35.375,34.25,35.1875,27.46694564819336,1569800
2000-01-06,35.3125,35.8125,35.0,35.46875,27.686485290527344,1708400
2000-01-07,35.34375,36.15625,35.09375,36.15625,28.22313117980957,1449400
2000-01-10,36.25,37.96875,36.25,37.78125,29.491592407226562,3457800
2000-01-11,37.96875,38.3125,37.28125,37.96875,29.63796043395996,2610000
2000-01-12,38.0,39.46875,38.0,38.75,30.24778938293457,2820000
2000-01-13,38.6875,40.34375,38.375,39.40625,30.76004981994629,3322600
2000-01-14,40.5,41.6875,40.3125,41.625,32.491973876953125,2132600
2000-01-18,40.875,40.875,38.875,38.96875,30.41852569580078,1874400
2000-01-19,39.0,39.6875,38.8125,39.1875,30.589292526245117,2348000
2000-01-20,39.5,39.5,38.75,38.84375,30.320968627929688,1469800
2000-01-21,39.25,40.0,39.0625,40.0,31.223514556884766,1648800
2000-01-24,40.0,40.71875,39.71875,40.0,31.223514556884766,3477600
2000-01-25,40.0,40.28125,37.9375,38.0,29.662343978881836,2054600
2000-01-26,37.875,37.875,36.21875,36.21875,28.27192497253418,2922200
2000-01-27,36.75,38.78125,36.71875,37.9375,29.613557815551758,2284800
2000-01-28,38.0625,38.34375,37.4375,38.1875,29.80870246887207,1270400
2000-01-31,39.0,40.46875,38.53125,40.0625,31.272308349609375,1837400
2000-02-01,40.0625,40.75,39.1875,40.375,31.516237258911133,2032200
2000-02-02,40.34375,40.6875,38.75,39.65625,30.95519256591797,1879600
2000-02-03,39.90625,41.40625,39.40625,40.1875,31.369871139526367,2607400
2000-02-04,40.1875,40.25,36.3125,37.625,29.36962127685547,4407600
2000-02-07,38.5,40.25,38.25,40.0,31.223514556884766,2595600
2000-02-08,40.625,42.9375,40.375,42.21875,32.9554557800293,3109200
2000-02-09,42.21875,43.25,41.59375,42.9375,33.51649856567383,2093200
2000-02-10,42.5,42.875,41.1875,41.4375,32.34561538696289,1584600
2000-02-11,40.75,41.28125,40.375,41.0,32.00410461425781,1046600
2000-02-14,41.0,42.84375,40.6875,42.75,33.37014389038086,1931800
2000-02-15,42.75,43.84375,42.3125,43.1875,33.711647033691406,1828000
2000-02-16,43.0625,44.6875,42.875,44.09375,34.41904830932617,1986000
2000-02-17,44.125,44.71875,43.625,43.96875,34.32147979736328,1082400
2000-02-18,44.0,44.5,43.6875,44.0,34.345863342285156,1339200
2000-02-22,43.875,44.0,42.34375,42.96875,33.540889739990234,1125000
2000-02-23,42.75,42.75,41.0,42.09375,32.85786819458008,1886200
2000-02-24,42.5,42.71875,41.65625,42.4375,33.12619400024414,1634200
2000-02-25,42.4375,42.5,41.375,42.25,32.979835510253906,972400
2000-02-28,42.375,42.90625,42.25,42.90625,33.49209976196289,1162800
2000-02-29,42.90625,43.21875,41.65625,41.90625,32.711509704589844,1580000
2000-03-01,41.90625,42.1875,40.4375,40.96875,31.97970199584961,1697600
2000-03-02,41.25,43.71875,41.1875,43.5625,34.004364013671875,1947200
2000-03-03,43.875,44.25,43.0,43.46875,33.931190490722656,2172400
2000-03-06,42.5,42.5,37.0,40.6875,31.76017189025879,6996800
2000-03-07,41.0625,41.625,39.6875,39.8125,31.07715606689453,2509400
2000-03-08,39.8125,39.875,38.6875,39.125,30.54050636291504,2753800
2000-03-09,39.875,39.875,37.375,37.78125,29.491592407226562,2170800
2000-03-10,36.0,39.0,34.75,36.5,28.491456985473633,3729800
2000-03-13,35.875,37.0,35.15625,36.5,28.491456985473633,2579200
2000-03-14,36.875,37.0,35.0625,35.9375,28.052383422851562,1799400
2000-03-15,35.8125,37.375,35.53125,37.1875,29.028112411499023,2036800
